действие	dejstvie_(АКТИВНОСТЬ)
действие	dejstvie_(СЮЖЕТ)
действие	dejstvie_(АРИФМЕТИЧЕСКОЕ)
действие	dejstvie_(ФУНКЦИЯ)
действие	dejstvie_(АКТ_ДРАМЫ)
дело	delo_(ЗАНЯТИЕ_ДЕЯТЕЛЬНОСТЬ)
дело	delo_(СФЕРА_ДЕЯТЕЛЬНОСТИ)
дело	delo_(СУДЕБНОЕ_ДЕЛО)
дело	delo_(СИТУАЦИЯ_ПОЛОЖЕНИЕ_ВЕЩЕЙ)
день	den'_(ДНЕВНОЕ_ВРЕМЯ)
день	den'_(СУТКИ_КАЛЕНДАРНЫЙ_ДЕНЬ)
день	den'_(ДАТА)
диск	disk_(ФОРМА_ПРЕДМЕТ)
диск	disk_(ЛАЗЕРНЫЙ_ДИСК)
диск	disk_(ЖЕСТКИЙ_ДИСК)
документ	dokument_(УДОСТОВЕРЕНИЕ_КОРОЧКА)
документ	dokument_(СВИДЕТЕЛЬСТВО)
документ	dokument_(ПИСЬМЕННАЯ_ДОКУМЕНТАЦИЯ)
доля	dolja_(УЧАСТЬ_СУДЬБА)
доля	dolja_(ЧАСТЬ)
дом	dom_(ЗДАНИЕ)
дом	dom_(СВОЕ_ЖИЛЬЕ)
дом	dom_(УЧРЕЖДЕНИЕ)
дом	dom_(СЕКТР_АСТРОЛОГИЧЕСКОЙ_ДИАГРАММЫ)
дорога	doroga_(ТРАССА)
дорога	doroga_(ПУТЬ_СООБЩЕНИЯ)
дорога	doroga_(МАРШРУТ_ВРЕМЯ_ДВИЖЕНИЯ)
дух	duh_(МОРАЛЬНЫЙ_ДУХ)
дух	duh_(СВЕРХЪЕСТЕСТВЕННОЕ_СУЩЕСТВО)
дух	duh_(ЗАПАХ)
дух	duh_(ДЫХАНИЕ)
место	mesto_(ДОЛЖНОСТЬ_ПОЛОЖЕНИЕ)
место	mesto_(ПРОСТРАНСТВО)
место	mesto_(ПРИЗОВОЕ_МЕСТО_РОЛЬ)
момент	moment_(ОБСТОЯТЕЛЬСТВО_ФАКТОР)
момент	moment_(ТОЧКА_ВО_ВРЕМЕНИ)
право	pravo_(ВОЗМОЖНОСТЬ)
право	pravo_(ПРАВОВАЯ_СИСТЕМА)
сеть	set'_(СОЦ_СЕТЬ)
сеть	set'_(ИНФРАСТРУКТУРА)
система	sistema_(ТЕХНИЧЕСКОЕ_УСТРОЙСТВО)
система	sistema_(ОРГАНИЗОВАННОЕ_ЦЕЛОЕ)
статья	stat'ja_(СТАТЬЯ_ДОКУМЕНТА)
статья	stat'ja_(ТЕКСТ)
время	vremja_(КОЛИЧЕСТВО_ЧАСОВ_ДНЕЙ)
время	vremja_(В_ТЕЧЕНИЕ)
время	vremja_(МОМЕНТ_ЭПОХА)
время	vremja_(ВРЕМЯ_НА_ЧАСАХ)
задача	zadacha_(ЦЕЛЬ)
задача	zadacha_(УПРАЖНЕНИЕ)
закон	zakon_(ЗАКОН)
закон	zakon_(ЗАКОНОМЕРНОСТЬ)
защита	zaschita_(ЗАЩИТНИК)
защита	zaschita_(БАРЬЕР)
защита	zaschita_(СОХРАНИЕНИЕ)
защита	zaschita_(ЗАЩИТА_СТЕПЕНИ)
земля	zemlja_(ПЛАНЕТА)
земля	zemlja_(ЗЕМЕЛЬНЫЙ_УЧАСТОК)
земля	zemlja_(СУША)
земля	zemlja_(ПОЧВА)
земля	zemlja_(ТВЕРДАЯ_ПОВЕРХНОСТЬ)
жизнь	zhizn'_(ФИЗ_ЖИЗНЬ)
жизнь	zhizn'_(ЖИВЫЕ_ОРГАНИЗМЫ)
жизнь	zhizn'_(СОЦ_ЖИЗНЬ)