word,sense,n_insts,f1_micro_1nn_ru,f1_weighted_1nn_ru,f1_macro_1nn_ru,f1_micro_1nn_m,f1_weighted_1nn_m,f1_macro_1nn_m,f1_micro__ft_ru,f1_weighted__ft_ru,f1_macro__ft_ru,f1_micro_ft_m,f1_weighted_ft_m,f1_macro_ft_m
действие,dejstvie_(АКТИВНОСТЬ),8,0.875,0.875,0.8,0.875,0.875,0.667,0.875,0.875,0.467,0.875,0.875,0.452
действие,dejstvie_(СЮЖЕТ),5,0.8,0.8,0.737,0.8,0.8,0.609,0.4,0.4,0.5,0.6,0.6,0.667
действие,dejstvie_(АРИФМЕТИЧЕСКОЕ),3,0.666667,0.666667,0.8,0.666667,0.666667,0.8,0.333,0.333,0.5,0.667,0.667,0.8
действие,dejstvie_(ФУНКЦИЯ),18,0.888889,0.888889,0.889,0.611111,0.611111,0.8,0.556,0.556,0.714,0.444,0.444,0.615
действие,dejstvie_(АКТ_ДРАМЫ),3,0.666667,0.666667,0.889,0.666667,0.666667,0.733,0.0,0.0,0.0,0.0,0.0,0.0
действие,ALL,37,0.837838,0.842,0.823,0.702703,0.715,0.722,0.541,0.556,0.4362,0.541,0.552,0.5068
дело,delo_(ЗАНЯТИЕ_ДЕЯТЕЛЬНОСТЬ),18,0.833333,0.833333,0.714,0.833333,0.833333,0.714,0.944,0.944,0.791,0.833,0.833,0.769
дело,delo_(СФЕРА_ДЕЯТЕЛЬНОСТИ),12,0.5,0.5,0.2,0.416667,0.416667,0.4,0.583,0.583,0.667,0.667,0.667,0.696
дело,delo_(СУДЕБНОЕ_ДЕЛО),18,0.888889,0.888889,0.941,0.833333,0.833333,0.882,0.944,0.944,0.971,0.944,0.944,0.971
дело,delo_(СИТУАЦИЯ_ПОЛОЖЕНИЕ_ВЕЩЕЙ),5,0.2,0.2,0.6,0.4,0.4,0.5,0.0,0.0,0.0,0.2,0.2,0.222
дело,ALL,53,0.716981,0.717,0.614,0.698113,0.693,0.624,0.774,0.749,0.6072500000000001,0.774,0.77,0.6645
день,den'_(ДНЕВНОЕ_ВРЕМЯ),4,1.0,1.0,0.757,0.75,0.75,0.737,0.0,0.0,0.0,0.5,0.5,0.5
день,den'_(СУТКИ_КАЛЕНДАРНЫЙ_ДЕНЬ),22,0.681818,0.681818,0.5,0.681818,0.681818,0.429,0.727,0.727,0.667,0.727,0.727,0.727
день,den'_(ДАТА),20,0.7,0.7,0.769,0.7,0.7,0.75,0.7,0.7,0.718,0.7,0.7,0.7
день,ALL,46,0.717391,0.74,0.675,0.695652,0.716,0.638,0.652,0.631,0.4616666666666666,0.696,0.696,0.6423333333333333
диск,disk_(ФОРМА_ПРЕДМЕТ),12,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.857,1.0,1.0,0.889
диск,disk_(ЛАЗЕРНЫЙ_ДИСК),5,0.8,0.8,0.8,0.8,0.8,0.889,0.4,0.4,0.571,0.6,0.6,0.75
диск,disk_(ЖЕСТКИЙ_ДИСК),1,0.0,0.0,0.96,0.0,0.0,0.923,0.0,0.0,0.0,0.0,0.0,0.0
диск,ALL,18,0.888889,0.862,0.587,0.888889,0.862,0.604,0.778,0.73,0.476,0.833,0.801,0.5463333333333333
документ,dokument_(УДОСТОВЕРЕНИЕ_КОРОЧКА),6,1.0,1.0,0.6,0.5,0.5,0.5,0.667,0.667,0.615,0.0,0.0,0.0
документ,dokument_(СВИДЕТЕЛЬСТВО),5,0.6,0.6,0.545,0.6,0.6,0.462,0.6,0.6,0.545,0.8,0.8,0.5
документ,dokument_(ПИСЬМЕННАЯ_ДОКУМЕНТАЦИЯ),6,0.5,0.5,0.923,0.5,0.5,0.667,0.5,0.5,0.6,0.5,0.5,0.5
документ,ALL,17,0.705882,0.698,0.69,0.529412,0.548,0.543,0.588,0.589,0.5866666666666667,0.412,0.324,0.3333333333333333
доля,dolja_(УЧАСТЬ_СУДЬБА),5,0.6,0.6,0.667,0.2,0.2,0.2,0.2,0.2,0.333,0.2,0.2,0.333
доля,dolja_(ЧАСТЬ),14,0.928571,0.928571,0.897,0.714286,0.714286,0.714,1.0,1.0,0.875,1.0,1.0,0.875
доля,ALL,19,0.842105,0.836,0.782,0.578947,0.579,0.457,0.789,0.732,0.604,0.789,0.732,0.604
дом,dom_(ЗДАНИЕ),11,0.818182,0.818182,0.818,0.909091,0.909091,0.8,0.909,0.909,0.87,1.0,1.0,0.759
дом,dom_(СВОЕ_ЖИЛЬЕ),9,0.777778,0.777778,0.875,0.777778,0.777778,0.824,1.0,1.0,0.783,0.778,0.778,0.824
дом,dom_(УЧРЕЖДЕНИЕ),5,0.4,0.4,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
дом,dom_(СЕКТР_АСТРОЛОГИЧЕСКОЙ_ДИАГРАММЫ),1,0.0,0.0,0.4,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0
дом,ALL,26,0.692308,0.726,0.523,0.769231,0.752,0.573,0.731,0.639,0.41325,0.692,0.606,0.39575
дорога,doroga_(ТРАССА),4,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.667,0.25,0.25,0.25
дорога,doroga_(ПУТЬ_СООБЩЕНИЯ),12,0.833333,0.833333,0.87,0.833333,0.833333,0.87,0.917,0.917,0.917,0.833,0.833,0.769
дорога,doroga_(МАРШРУТ_ВРЕМЯ_ДВИЖЕНИЯ),3,0.333333,0.333333,0.545,0.333333,0.333333,0.545,0.667,0.667,0.8,0.333,0.333,0.5
дорога,ALL,19,0.736842,0.743,0.638,0.736842,0.743,0.638,0.842,0.846,0.7946666666666666,0.632,0.617,0.5063333333333333
дух,duh_(МОРАЛЬНЫЙ_ДУХ),13,0.461538,0.461538,0.0,0.615385,0.615385,0.0,0.846,0.846,0.88,0.846,0.846,0.786
дух,duh_(СВЕРХЪЕСТЕСТВЕННОЕ_СУЩЕСТВО),3,0.666667,0.666667,0.444,0.333333,0.333333,0.667,0.667,0.667,0.571,0.667,0.667,0.571
дух,duh_(ЗАПАХ),3,0.666667,0.666667,0.571,1.0,1.0,0.696,1.0,1.0,0.857,0.0,0.0,0.0
дух,duh_(ДЫХАНИЕ),1,0.0,0.0,0.444,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0
дух,ALL,20,0.5,0.505,0.365,0.6,0.595,0.412,0.8,0.786,0.577,0.65,0.596,0.33925
место,mesto_(ДОЛЖНОСТЬ_ПОЛОЖЕНИЕ),2,0.5,0.5,0.5,0.5,0.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0
место,mesto_(ПРОСТРАНСТВО),20,1.0,1.0,0.824,1.0,1.0,0.889,1.0,1.0,0.93,1.0,1.0,0.93
место,mesto_(ПРИЗОВОЕ_МЕСТО_РОЛЬ),10,0.7,0.7,0.93,0.8,0.8,0.93,0.8,0.8,0.842,0.8,0.8,0.842
место,ALL,32,0.875,0.87,0.751,0.90625,0.901,0.829,0.875,0.845,0.5906666666666667,0.875,0.845,0.5906666666666667
момент,moment_(ОБСТОЯТЕЛЬСТВО_ФАКТОР),1,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.667,1.0,1.0,1.0
момент,moment_(ТОЧКА_ВО_ВРЕМЕНИ),14,0.785714,0.785714,0.88,0.785714,0.785714,0.88,0.929,0.929,0.963,1.0,1.0,1.0
момент,ALL,15,0.8,0.848,0.64,0.8,0.848,0.64,0.933,0.943,0.815,1.0,1.0,1.0
право,pravo_(ВОЗМОЖНОСТЬ),23,1.0,1.0,1.0,0.956522,0.956522,0.957,1.0,1.0,0.979,1.0,1.0,0.979
право,pravo_(ПРАВОВАЯ_СИСТЕМА),1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
право,ALL,24,1.0,1.0,1.0,0.916667,0.917,0.478,0.958,0.938,0.4895,0.958,0.938,0.4895
сеть,set'_(СОЦ_СЕТЬ),15,1.0,1.0,0.909,1.0,1.0,0.909,1.0,1.0,0.909,1.0,1.0,0.882
сеть,set'_(ИНФРАСТРУКТУРА),6,0.833333,0.833333,0.968,0.833333,0.833333,0.968,0.5,0.5,0.667,0.333,0.333,0.5
сеть,ALL,21,0.952381,0.951,0.938,0.952381,0.951,0.938,0.857,0.84,0.788,0.81,0.773,0.6910000000000001
система,sistema_(ТЕХНИЧЕСКОЕ_УСТРОЙСТВО),9,0.888889,0.888889,0.778,0.777778,0.777778,0.8,0.889,0.889,0.941,0.778,0.778,0.737
система,sistema_(ОРГАНИЗОВАННОЕ_ЦЕЛОЕ),10,0.7,0.7,0.8,0.8,0.8,0.778,1.0,1.0,0.952,0.7,0.7,0.737
система,ALL,19,0.789474,0.788,0.789,0.789474,0.789,0.789,0.947,0.947,0.9465,0.737,0.737,0.737
статья,stat'ja_(СТАТЬЯ_ДОКУМЕНТА),38,0.894737,0.894737,0.944,0.868421,0.868421,0.93,0.868,0.868,0.93,0.895,0.895,0.944
статья,stat'ja_(ТЕКСТ),13,1.0,1.0,0.867,1.0,1.0,0.839,1.0,1.0,0.839,1.0,1.0,0.867
статья,ALL,51,0.921569,0.925,0.906,0.901961,0.906,0.884,0.902,0.906,0.8845000000000001,0.922,0.925,0.9055
время,vremja_(КОЛИЧЕСТВО_ЧАСОВ_ДНЕЙ),8,0.5,0.5,0.519,0.625,0.625,0.462,0.375,0.375,0.5,0.875,0.875,0.609
время,vremja_(В_ТЕЧЕНИЕ),9,0.777778,0.777778,0.909,0.666667,0.666667,1.0,0.889,0.889,0.762,0.444,0.444,0.571
время,vremja_(МОМЕНТ_ЭПОХА),37,0.486486,0.486486,0.381,0.378378,0.378378,0.357,0.892,0.892,0.868,0.811,0.811,0.845
время,vremja_(ВРЕМЯ_НА_ЧАСАХ),10,1.0,1.0,0.621,1.0,1.0,0.519,0.8,0.8,0.842,1.0,1.0,1.0
время,ALL,64,0.609375,0.621,0.607,0.546875,0.566,0.584,0.812,0.803,0.743,0.797,0.801,0.75625
задача,zadacha_(ЦЕЛЬ),11,0.818182,0.818182,0.833,0.727273,0.727273,0.769,1.0,1.0,1.0,1.0,1.0,0.917
задача,zadacha_(УПРАЖНЕНИЕ),5,1.0,1.0,0.9,1.0,1.0,0.842,1.0,1.0,1.0,0.6,0.6,0.75
задача,ALL,16,0.875,0.879,0.867,0.8125,0.819,0.806,1.0,1.0,1.0,0.875,0.865,0.8335
закон,zakon_(ЗАКОН),28,0.642857,0.642857,0.783,0.714286,0.714286,0.833,0.929,0.929,0.945,0.893,0.893,0.909
закон,zakon_(ЗАКОНОМЕРНОСТЬ),5,1.0,1.0,0.5,1.0,1.0,0.556,0.8,0.8,0.727,0.6,0.6,0.545
закон,ALL,33,0.69697,0.74,0.641,0.757576,0.791,0.694,0.909,0.912,0.836,0.848,0.854,0.7270000000000001
защита,zaschita_(ЗАЩИТНИК),7,0.714286,0.714286,0.667,0.714286,0.714286,0.667,0.571,0.571,0.615,0.571,0.571,0.615
защита,zaschita_(БАРЬЕР),9,0.777778,0.777778,0.667,0.777778,0.777778,0.667,0.889,0.889,0.696,1.0,1.0,0.75
защита,zaschita_(СОХРАНИЕНИЕ),10,0.7,0.7,0.714,0.6,0.6,0.667,0.5,0.5,0.625,0.6,0.6,0.75
защита,zaschita_(ЗАЩИТА_СТЕПЕНИ),2,0.5,0.5,0.778,0.5,0.5,0.706,0.5,0.5,0.5,0.5,0.5,0.667
защита,ALL,28,0.714286,0.718,0.706,0.678571,0.681,0.676,0.643,0.636,0.609,0.714,0.71,0.6955
земля,zemlja_(ПЛАНЕТА),8,0.875,0.875,0.4,0.625,0.625,0.667,0.375,0.375,0.4,0.875,0.875,0.778
земля,zemlja_(ЗЕМЕЛЬНЫЙ_УЧАСТОК),7,0.285714,0.285714,0.875,0.571429,0.571429,0.667,0.571,0.571,0.5,0.571,0.571,0.615
земля,zemlja_(СУША),2,1.0,1.0,0.8,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
земля,zemlja_(ПОЧВА),2,1.0,1.0,0.444,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
земля,zemlja_(ТВЕРДАЯ_ПОВЕРХНОСТЬ),7,0.571429,0.571429,0.667,0.571429,0.571429,0.615,0.143,0.143,0.133,0.857,0.857,0.923
земля,ALL,26,0.653846,0.652,0.637,0.615385,0.627,0.59,0.308,0.294,0.2066,0.692,0.692,0.5632
жизнь,zhizn'_(ФИЗ_ЖИЗНЬ),17,0.588235,0.588235,0.615,0.588235,0.588235,0.727,0.294,0.294,0.345,0.235,0.235,0.381
жизнь,zhizn'_(ЖИВЫЕ_ОРГАНИЗМЫ),4,1.0,1.0,0.71,1.0,1.0,0.706,0.0,0.0,0.0,0.5,0.5,0.667
жизнь,zhizn'_(СОЦ_ЖИЗНЬ),15,0.733333,0.733333,0.714,0.8,0.8,0.741,0.533,0.533,0.471,1.0,1.0,0.667
жизнь,ALL,36,0.694444,0.701,0.68,0.722222,0.725,0.725,0.361,0.359,0.272,0.583,0.532,0.5716666666666668
